model,field,label,importance,error_rate
deepseek,age,Age,0.031417738646268845,0.0
deepseek,sex,Sex,0.08148405700922012,0.0
deepseek,cp,Chest Pain,0.1066279336810112,0.010000000000000009
deepseek,trestbps,Resting BP,0.03101532906293869,0.0
deepseek,chol,Cholesterol,0.04324422404170036,0.0010000000000000009
deepseek,fbs,Fasting BS,0.06735697388648987,0.0
deepseek,restecg,Resting ECG,0.03380667045712471,0.0
deepseek,thalach,Max HR,0.03390318900346756,0.0
deepseek,exang,Exercise Angina,0.08665428310632706,0.0
deepseek,oldpeak,ST Depression,0.04545637592673302,0.009000000000000008
deepseek,slope,ST Slope,0.43903326988220215,0.0010000000000000009
qwen2b,age,Age,0.031417738646268845,0.0
qwen2b,sex,Sex,0.08148405700922012,0.20999999999999996
qwen2b,cp,Chest Pain,0.1066279336810112,0.5740000000000001
qwen2b,trestbps,Resting BP,0.03101532906293869,0.0
qwen2b,chol,Cholesterol,0.04324422404170036,0.0010000000000000009
qwen2b,fbs,Fasting BS,0.06735697388648987,0.0020000000000000018
qwen2b,restecg,Resting ECG,0.03380667045712471,0.013000000000000012
qwen2b,thalach,Max HR,0.03390318900346756,0.0
qwen2b,exang,Exercise Angina,0.08665428310632706,0.0030000000000000027
qwen2b,oldpeak,ST Depression,0.04545637592673302,0.009000000000000008
qwen2b,slope,ST Slope,0.43903326988220215,0.0030000000000000027
