field,conf_bucket,n,actual_accuracy,mean_confidence
age,80-100,918,1.0,100.0
sex,80-100,918,1.0,100.0
cp,80-100,906,0.9900662251655629,95.73399558498896
trestbps,80-100,917,1.0,100.0
chol,20-40,36,1.0,30.0
chol,60-80,35,1.0,76.57142857142857
chol,80-100,839,0.99880810488677,99.9880810488677
fbs,80-100,918,1.0,99.17211328976035
restecg,80-100,918,1.0,99.55337690631808
thalach,80-100,918,1.0,100.0
exang,80-100,918,1.0,99.92374727668846
oldpeak,80-100,918,0.9912854030501089,100.0
slope,60-80,8,0.875,80.0
slope,80-100,904,1.0,99.65154867256638
